Row_ID,Order_ID,Order_Date,Ship_Date,Shipping_Days,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_Margin_Pct,Order_Year,Order_Month,Discount_Bucket,Profit_Status
7981,CA-2014-103800,2014-01-03,2014-01-07,4,Standard Class,DP-13000,Darren Powers,Consumer,Houston,Texas,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,0.200000002980232,5.55,33.75,2014,1,High 21-30pct,Profitable
740,CA-2014-112326,2014-01-04,2014-01-08,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,Office Supplies,Labels,Avery 508,11.78,3,0.200000002980232,4.27,36.25,2014,1,High 21-30pct,Profitable
741,CA-2014-112326,2014-01-04,2014-01-08,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,0.200000002980232,-64.77,-23.75,2014,1,High 21-30pct,Loss Making
742,CA-2014-112326,2014-01-04,2014-01-08,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.800000011920929,-5.49,-155.0,2014,1,Extreme 50pct+,Loss Making
1760,CA-2014-141817,2014-01-05,2014-01-12,7,Standard Class,MB-18085,Mick Brown,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,0.200000002980232,4.88,25.0,2014,1,High 21-30pct,Profitable
5328,CA-2014-130813,2014-01-06,2014-01-08,2,Second Class,LS-17230,Lycoris Saunders,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.33,48.0,2014,1,No Discount,Profitable
7181,CA-2014-106054,2014-01-06,2014-01-07,1,First Class,JO-15145,Jack O'Briant,Corporate,Athens,Georgia,South,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.24,41.0,2014,1,No Discount,Profitable
7475,CA-2014-167199,2014-01-06,2014-01-10,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.41,29.0,2014,1,No Discount,Profitable
7476,CA-2014-167199,2014-01-06,2014-01-10,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.49,45.0,2014,1,No Discount,Profitable
7477,CA-2014-167199,2014-01-06,2014-01-10,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.48,27.0,2014,1,No Discount,Profitable
